EmployeeId,Age,Ageband,Gender,Department,JobRole,BusinessTravel,MaritalStatus,TenureBand,YearsInCurrentRole,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,MonthlyIncome,OverTime,Attrition,AttritionFlag,YearsAtCompany
485,33,25-34,Female,Sales,Sales Representative,Travel_Rarely,Single,1-3 Years,0,3,3,4,2,3,3,2851,true,true,1,1
486,37,35-44,Female,Research & Development,Laboratory Technician,Travel_Rarely,Married,5-10 Years,4,3,1,3,2,3,4,3452,false,false,0,5
487,46,45-54,Female,Research & Development,Manufacturing Director,Non-Travel,Married,1-3 Years,0,3,3,3,3,4,3,5258,false,false,0,1
488,41,35-44, Male,Sales,Sales Executive,Travel_Frequently,Single,5-10 Years,7,3,2,1,3,3,3,9355,false,true,1,8
491,50,45-54, Male,Research & Development,Healthcare Representative,Travel_Rarely,Single,3-5  Years,3,2,4,4,4,3,3,10496,false,false,0,4
492,40,35-44, Male,Sales,Sales Executive,Travel_Rarely,Married,5-10 Years,4,2,3,3,1,3,3,6380,true,true,1,6
493,31,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,1-3 Years,2,2,2,3,4,3,3,2657,true,false,0,2
494,21,<25,Female,Sales,Sales Representative,Travel_Rarely,Single,1-3 Years,0,4,2,3,4,3,3,2716,false,true,1,1
495,29,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,3-5  Years,2,3,4,4,4,3,3,2201,false,false,0,3
496,35,35-44, Male,Research & Development,Healthcare Representative,Travel_Rarely,Single,1-3 Years,1,2,2,3,3,3,3,6540,false,false,0,1
497,27,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,5-10 Years,2,3,2,4,2,3,3,3816,false,false,0,5
498,28,25-34, Male,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,5,3,4,2,4,3,3,5253,false,false,0,7
499,49,45-54, Male,Research & Development,Healthcare Representative,Travel_Rarely,Single,5-10 Years,2,2,3,2,3,3,4,10965,false,false,0,5
500,51,45-54,Female,Sales,Sales Executive,Travel_Rarely,Married,5-10 Years,7,3,4,3,3,2,3,4936,false,false,0,7
501,36,35-44,Female,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,2,3,3,4,2,3,3,2543,false,false,0,2
502,34,25-34, Male,Sales,Sales Executive,Non-Travel,Single,5-10 Years,2,4,4,1,2,2,3,5304,true,true,1,5
505,55,55+,Female,Research & Development,Manager,Travel_Rarely,Single,5-10 Years,4,3,4,3,3,3,3,16659,true,false,0,5
507,24,<25,Female,Sales,Sales Executive,Travel_Rarely,Divorced,5-10 Years,2,3,3,4,4,4,3,4260,true,false,0,5
508,30,25-34, Male,Sales,Sales Representative,Travel_Rarely,Married,1-3 Years,0,3,2,3,1,3,3,2476,false,false,0,1
510,26,25-34, Male,Research & Development,Research Scientist,Travel_Frequently,Single,5-10 Years,4,3,1,3,3,3,4,3102,false,true,1,6
511,22,<25,Female,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,1,3,2,1,4,3,3,2244,false,false,0,2
513,36,35-44, Male,Sales,Sales Executive,Travel_Rarely,Married,10+ Years,9,2,3,2,2,3,3,7596,false,false,0,10
514,30,25-34, Male,Research & Development,Research Scientist,Travel_Frequently,Single,1-3 Years,0,3,4,3,3,3,4,2285,true,true,1,1
515,37,35-44,Female,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,10+ Years,7,3,1,4,3,2,3,3034,false,false,0,18
516,40,35-44,Female,Sales,Sales Executive,Travel_Rarely,Divorced,5-10 Years,4,3,2,4,3,3,3,5715,false,false,0,5
517,42,35-44,Female,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,5-10 Years,2,3,1,2,2,3,3,2576,false,false,0,5
518,37,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Single,1-3 Years,0,3,2,3,4,2,3,4197,true,false,0,1
520,43,35-44, Male,Research & Development,Research Director,Travel_Rarely,Divorced,10+ Years,10,2,2,1,3,3,3,14336,false,false,0,25
521,40,35-44,Female,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,0,2,3,2,2,3,4,3448,false,false,0,1
522,54,45-54, Male,Research & Development,Research Director,Travel_Rarely,Married,3-5  Years,2,3,1,1,3,2,3,19406,false,false,0,4
523,34,25-34,Female,Sales,Sales Executive,Non-Travel,Married,3-5  Years,2,3,3,3,1,3,3,6538,false,false,0,3
524,31,25-34,Female,Research & Development,Manufacturing Director,Travel_Rarely,Married,10+ Years,10,3,1,2,2,1,3,4306,false,false,0,13
525,43,35-44, Male,Research & Development,Laboratory Technician,Travel_Frequently,Married,3-5  Years,2,3,4,4,1,3,4,2258,false,false,0,3
526,43,35-44,Female,Research & Development,Healthcare Representative,Travel_Rarely,Divorced,5-10 Years,2,3,3,3,4,3,3,4522,true,false,0,5
527,25,25-34,Female,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,4,2,4,2,2,3,3,4487,true,false,0,5
529,37,35-44,Female,Research & Development,Research Scientist,Non-Travel,Married,10+ Years,11,3,3,2,1,3,3,4449,true,false,0,13
530,31,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,3-5  Years,2,2,1,4,3,3,3,2218,false,false,0,4
531,39,35-44, Male,Research & Development,Manager,Travel_Frequently,Divorced,10+ Years,8,3,3,2,3,3,3,19197,true,false,0,21
532,56,55+,Female,Sales,Sales Executive,Travel_Frequently,Married,5-10 Years,7,4,1,3,4,2,3,13212,false,false,0,7
533,30,25-34,Female,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,4,3,3,2,2,3,3,6577,false,false,0,5
534,41,35-44, Male,Sales,Sales Executive,Travel_Rarely,Married,10+ Years,7,4,1,2,3,3,3,8392,false,false,0,10
536,28,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,10+ Years,0,3,1,3,4,3,3,4558,false,false,0,10
538,25,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,2,3,1,1,3,3,3,4031,false,true,1,2
543,52,45-54, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,5-10 Years,4,2,3,4,3,3,3,7969,true,false,0,5
544,45,45-54, Male,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,2,3,4,1,4,2,4,2654,false,false,0,2
546,52,45-54,Female,Research & Development,Manager,Travel_Rarely,Married,5-10 Years,2,3,4,4,4,1,3,16555,false,false,0,5
547,42,35-44,Female,Research & Development,Research Scientist,Travel_Frequently,Divorced,5-10 Years,4,3,3,1,2,3,3,4556,false,false,0,5
548,30,25-34,Female,Research & Development,Manufacturing Director,Travel_Rarely,Single,5-10 Years,4,1,4,3,3,3,4,6091,false,false,0,5
549,60,55+,Female,Research & Development,Manager,Travel_Rarely,Married,10+ Years,8,3,1,1,4,1,3,19566,false,false,0,29
550,46,45-54,Female,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,10+ Years,7,3,3,3,3,2,3,4810,false,false,0,10
551,42,35-44,Female,Research & Development,Healthcare Representative,Travel_Frequently,Married,5-10 Years,5,2,4,4,4,4,3,4523,false,false,0,6
554,24,<25,Female,Sales,Sales Representative,Travel_Rarely,Single,5-10 Years,3,3,2,1,2,3,3,3202,true,true,1,5
555,34,25-34,Female,Sales,Sales Representative,Travel_Frequently,Divorced,1-3 Years,2,1,3,4,4,2,3,2351,false,true,1,2
556,38,35-44, Male,Research & Development,Laboratory Technician,Travel_Frequently,Married,1-3 Years,0,3,4,4,3,3,4,1702,true,false,0,1
558,40,35-44,Female,Sales,Manager,Travel_Rarely,Married,10+ Years,15,3,3,3,4,3,3,18041,false,false,0,20
560,26,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Divorced,3-5  Years,2,3,4,1,2,1,4,2886,false,false,0,3
562,30,25-34, Male,Research & Development,Laboratory Technician,Non-Travel,Married,5-10 Years,3,3,4,3,3,1,3,2097,false,false,0,5
564,29,25-34, Male,Research & Development,Research Director,Travel_Rarely,Married,10+ Years,2,2,3,2,3,3,3,11935,false,false,0,10
565,29,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,2,2,2,3,2,4,3,2546,false,true,1,2
566,19,<25, Male,Human Resources,Human Resources,Travel_Rarely,Single,1-3 Years,0,2,4,1,3,4,3,2564,false,true,1,1
567,30,25-34,Female,Sales,Sales Executive,Non-Travel,Married,5-10 Years,8,3,1,3,3,3,3,8412,false,false,0,9
568,57,55+, Male,Sales,Manager,Travel_Rarely,Divorced,1-3 Years,0,2,4,1,3,2,3,14118,false,false,0,1
569,50,45-54, Male,Research & Development,Manager,Travel_Rarely,Married,10+ Years,10,2,3,2,2,3,3,17046,false,false,0,27
571,30,25-34,Female,Research & Development,Laboratory Technician,Non-Travel,Single,10+ Years,7,3,4,3,3,2,3,2564,false,false,0,11
573,60,55+,Female,Sales,Sales Executive,Travel_Frequently,Married,10+ Years,13,2,1,3,4,4,3,10266,false,false,0,18
574,47,45-54,Female,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,5-10 Years,0,3,4,1,3,3,3,5070,false,false,0,5
575,46,45-54, Male,Research & Development,Research Director,Travel_Rarely,Married,3-5  Years,2,3,3,1,3,1,3,17861,false,false,0,3
577,35,35-44, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,5-10 Years,4,1,3,4,3,3,3,4230,false,false,0,5
578,54,45-54,Female,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,0,3,3,3,3,3,3,3780,false,false,0,1
579,34,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Divorced,5-10 Years,3,2,3,4,3,3,3,2768,false,false,0,7
580,46,45-54,Female,Sales,Sales Executive,Travel_Rarely,Married,3-5  Years,2,2,4,3,3,3,3,9071,true,false,0,3
581,31,25-34, Male,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,10+ Years,8,3,2,3,4,4,4,10648,false,false,0,13
582,33,25-34, Male,Research & Development,Manager,Travel_Rarely,Married,5-10 Years,6,3,3,2,4,4,3,13610,true,true,1,7
584,33,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,3-5  Years,3,1,4,1,1,3,3,3408,false,true,1,4
585,30,25-34, Male,Sales,Sales Representative,Travel_Rarely,Single,3-5  Years,2,3,2,4,1,3,3,2983,false,false,0,3
586,35,35-44, Male,Research & Development,Healthcare Representative,Travel_Rarely,Married,5-10 Years,7,3,3,4,3,3,3,7632,true,false,0,8
587,31,25-34, Male,Research & Development,Healthcare Representative,Travel_Frequently,Married,1-3 Years,0,3,3,1,1,3,3,9824,false,true,1,1
590,34,25-34,Female,Human Resources,Human Resources,Travel_Frequently,Divorced,3-5  Years,2,3,1,2,3,3,3,9950,true,true,1,3
591,42,35-44, Male,Research & Development,Laboratory Technician,Travel_Frequently,Married,1-3 Years,2,3,3,2,4,3,3,2093,false,false,0,2
592,36,35-44, Male,Sales,Sales Executive,Non-Travel,Single,10+ Years,3,3,4,2,4,2,3,9980,false,false,0,10
593,22,<25, Male,Research & Development,Laboratory Technician,Travel_Frequently,Single,1-3 Years,2,2,3,3,3,3,3,3894,false,true,1,2
595,48,45-54,Female,Sales,Sales Executive,Travel_Rarely,Married,5-10 Years,7,3,4,2,1,3,3,4051,false,false,0,9
597,55,55+,Female,Sales,Manager,Travel_Rarely,Single,10+ Years,9,3,2,1,4,3,4,16835,false,false,0,10
599,41,35-44, Male,Sales,Sales Executive,Non-Travel,Single,10+ Years,3,3,4,4,4,3,3,6230,false,false,0,14
600,35,35-44, Male,Sales,Sales Executive,Travel_Rarely,Married,10+ Years,9,3,3,2,3,3,3,4717,false,false,0,11
601,40,35-44,Female,Research & Development,Manufacturing Director,Travel_Rarely,Single,10+ Years,6,3,3,2,3,3,3,13237,false,false,0,20
602,39,35-44,Female,Research & Development,Laboratory Technician,Travel_Frequently,Married,5-10 Years,3,3,3,3,1,3,3,3755,false,false,0,8
604,31,25-34, Male,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,5,3,4,2,3,4,3,6582,true,false,0,6
605,42,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,10+ Years,9,3,1,4,4,2,4,7406,true,false,0,10
606,45,45-54, Male,Sales,Sales Executive,Travel_Rarely,Married,5-10 Years,7,3,2,4,2,4,3,4805,false,false,0,8
608,26,25-34,Female,Human Resources,Human Resources,Travel_Frequently,Divorced,5-10 Years,7,3,3,2,2,2,3,2741,true,true,1,7
611,29,25-34, Male,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,3-5  Years,2,3,4,4,2,4,3,4262,false,false,0,3
612,33,25-34,Female,Research & Development,Research Director,Travel_Rarely,Divorced,5-10 Years,1,4,3,1,3,3,3,16184,false,false,0,6
613,31,25-34, Male,Sales,Manager,Travel_Rarely,Divorced,5-10 Years,4,2,4,3,3,2,4,11557,false,false,0,5
614,18,<25, Male,Sales,Sales Representative,Travel_Frequently,Single,<1Year,0,3,2,2,4,3,3,1878,true,true,1,0
615,40,35-44, Male,Sales,Sales Executive,Non-Travel,Divorced,1-3 Years,0,1,1,3,3,3,3,10932,false,false,0,1
616,41,35-44,Female,Research & Development,Healthcare Representative,Non-Travel,Single,5-10 Years,7,2,3,1,1,3,3,6811,true,false,0,8
618,26,25-34, Male,Sales,Sales Executive,Travel_Rarely,Divorced,<1Year,0,3,3,1,1,3,3,4306,false,false,0,0
620,35,35-44,Female,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,4,3,3,1,4,3,3,4859,false,false,0,5
621,34,25-34, Male,Sales,Sales Executive,Travel_Rarely,Single,10+ Years,7,4,4,4,4,3,3,5337,false,false,0,10
622,26,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,0,1,4,3,2,1,3,2340,true,true,1,1
623,37,35-44,Female,Research & Development,Manufacturing Director,Travel_Rarely,Single,5-10 Years,5,3,4,2,4,4,3,7491,false,false,0,6
624,46,45-54,Female,Research & Development,Healthcare Representative,Travel_Frequently,Married,1-3 Years,2,3,3,1,4,2,3,10527,false,false,0,2
625,41,35-44,Female,Sales,Manager,Travel_Rarely,Married,10+ Years,16,3,1,2,2,3,3,16595,false,false,0,18
626,37,35-44, Male,Sales,Sales Executive,Non-Travel,Divorced,5-10 Years,5,3,2,1,4,3,3,8834,false,false,0,9
630,52,45-54, Male,Research & Development,Research Scientist,Travel_Rarely,Divorced,10+ Years,9,3,1,4,2,3,3,5577,true,false,0,10
631,32,25-34, Male,Sales,Sales Executive,Non-Travel,Married,3-5  Years,2,4,3,4,4,3,3,4707,false,true,1,4
632,24,<25, Male,Sales,Sales Representative,Travel_Frequently,Married,1-3 Years,2,3,4,4,3,3,3,2400,false,false,0,2
634,38,35-44,Female,Research & Development,Healthcare Representative,Travel_Rarely,Married,1-3 Years,0,3,3,3,3,3,3,9824,false,false,0,1
635,37,35-44,Female,Research & Development,Manufacturing Director,Travel_Rarely,Married,5-10 Years,5,3,2,2,2,2,3,6447,false,false,0,6
638,49,45-54, Male,Research & Development,Research Director,Travel_Rarely,Divorced,10+ Years,9,2,3,4,3,3,3,19502,true,false,0,31
639,24,<25, Male,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,5,4,4,2,2,3,3,2725,true,false,0,6
641,26,25-34, Male,Sales,Sales Executive,Travel_Rarely,Married,5-10 Years,3,3,2,1,4,4,4,6272,false,false,0,5
643,24,<25, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,0,2,2,4,4,3,4,2127,false,false,0,1
644,50,45-54, Male,Human Resources,Manager,Travel_Frequently,Married,10+ Years,5,3,2,1,3,3,3,18200,false,false,0,32
645,25,25-34, Male,Sales,Sales Representative,Travel_Rarely,Married,5-10 Years,4,3,3,2,3,3,3,2096,false,false,0,7
647,24,<25,Female,Research & Development,Laboratory Technician,Travel_Frequently,Married,5-10 Years,3,3,3,1,4,3,3,2886,true,true,1,6
648,30,25-34, Male,Sales,Sales Representative,Travel_Frequently,Married,1-3 Years,0,2,1,2,3,4,3,2033,false,true,1,1
649,34,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,5,2,4,2,4,3,3,3622,true,false,0,6
650,31,25-34, Male,Sales,Sales Executive,Travel_Rarely,Divorced,3-5  Years,1,3,1,2,3,1,3,4233,false,true,1,3
652,35,35-44, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,3-5  Years,2,2,4,1,4,3,3,3681,false,false,0,3
653,31,25-34, Male,Sales,Sales Executive,Travel_Rarely,Divorced,5-10 Years,7,4,4,1,4,4,4,5460,false,false,0,7
655,27,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Divorced,5-10 Years,3,2,3,1,3,2,3,2187,false,false,0,5
656,37,35-44, Male,Sales,Sales Executive,Travel_Rarely,Married,3-5  Years,0,3,3,4,3,2,3,9602,true,false,0,3
657,20,<25,Female,Research & Development,Research Scientist,Travel_Rarely,Single,1-3 Years,0,2,2,4,4,4,3,2836,false,false,0,1
659,42,35-44,Female,Research & Development,Healthcare Representative,Travel_Rarely,Married,10+ Years,2,3,4,3,2,3,3,4089,false,false,0,10
661,43,35-44, Male,Research & Development,Research Director,Travel_Rarely,Divorced,1-3 Years,0,2,4,2,3,2,3,16627,true,false,0,1
662,38,35-44,Female,Research & Development,Research Scientist,Travel_Rarely,Single,<1Year,0,3,1,3,4,2,3,2619,false,false,0,0
663,43,35-44, Male,Research & Development,Laboratory Technician,Travel_Frequently,Divorced,5-10 Years,7,3,3,4,2,3,3,5679,true,false,0,8
664,48,45-54,Female,Research & Development,Manager,Travel_Rarely,Married,3-5  Years,2,2,1,4,1,1,3,15402,false,false,0,3
665,44,35-44,Female,Human Resources,Human Resources,Travel_Rarely,Single,1-3 Years,2,2,3,1,2,4,3,5985,false,false,0,2
666,34,25-34,Female,Sales,Sales Representative,Travel_Rarely,Divorced,5-10 Years,2,3,3,3,4,3,3,2579,true,false,0,8
667,27,25-34, Male,Sales,Sales Representative,Travel_Rarely,Divorced,3-5  Years,3,3,1,3,2,3,3,3041,false,true,1,4
669,21,<25, Male,Sales,Sales Representative,Travel_Rarely,Single,3-5  Years,2,3,3,3,3,3,3,3447,false,false,0,3
671,44,35-44, Male,Research & Development,Manager,Travel_Rarely,Married,1-3 Years,2,3,4,4,1,4,3,19513,true,false,0,2
675,22,<25, Male,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,2,3,3,1,4,3,4,2773,false,false,0,2
677,33,25-34, Male,Sales,Sales Executive,Travel_Rarely,Divorced,5-10 Years,0,3,3,3,4,3,3,7104,false,false,0,5
679,32,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,4,3,4,1,4,2,3,6322,true,false,0,6
680,30,25-34,Female,Research & Development,Research Scientist,Travel_Frequently,Divorced,1-3 Years,0,3,3,3,3,3,4,2083,false,false,0,1
682,53,45-54,Female,Sales,Sales Executive,Travel_Rarely,Single,10+ Years,7,3,1,4,4,4,4,8381,false,false,0,14
683,34,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Married,10+ Years,9,3,4,2,4,2,3,2691,false,false,0,10
684,45,45-54,Female,Sales,Sales Executive,Travel_Frequently,Married,1-3 Years,1,3,1,1,4,3,3,4286,false,true,1,1
686,26,25-34,Female,Research & Development,Laboratory Technician,Travel_Rarely,Married,3-5  Years,2,3,4,3,3,3,3,2659,true,false,0,3
689,37,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,10+ Years,7,3,3,3,3,3,3,9434,false,false,0,10
690,29,25-34,Female,Sales,Sales Executive,Travel_Rarely,Married,5-10 Years,0,3,3,2,1,2,3,5561,false,false,0,6
691,35,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Single,10+ Years,11,1,4,2,2,3,3,6646,false,false,0,17
692,33,25-34, Male,Research & Development,Healthcare Representative,Travel_Frequently,Divorced,10+ Years,11,3,4,3,3,1,4,7725,false,false,0,13
698,54,45-54, Male,Human Resources,Human Resources,Travel_Rarely,Married,5-10 Years,7,3,2,3,3,4,3,10725,false,false,0,9
699,36,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,3-5  Years,2,2,2,2,3,3,3,8847,true,false,0,3
700,27,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,3-5  Years,2,2,4,1,4,3,3,2045,false,false,0,4
701,20,<25, Male,Research & Development,Research Scientist,Travel_Rarely,Single,1-3 Years,0,3,3,4,4,3,3,1009,true,true,1,1
702,33,25-34, Male,Research & Development,Research Scientist,Travel_Frequently,Single,10+ Years,8,3,1,1,1,3,3,3348,true,true,1,10
704,35,35-44, Male,Research & Development,Laboratory Technician,Non-Travel,Married,1-3 Years,0,2,3,3,3,3,3,1281,false,false,0,1
705,23,<25, Male,Research & Development,Research Scientist,Travel_Rarely,Married,3-5  Years,2,4,1,1,1,4,3,2819,false,false,0,3
707,25,25-34, Male,Sales,Sales Executive,Travel_Rarely,Married,3-5  Years,2,4,2,4,3,3,4,4851,false,false,0,3
709,38,35-44,Female,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,7,2,4,4,1,3,4,4028,false,false,0,7
710,29,25-34, Male,Research & Development,Research Scientist,Travel_Frequently,Divorced,10+ Years,7,1,4,2,4,3,3,2720,false,false,0,10
712,48,45-54, Male,Sales,Sales Executive,Travel_Rarely,Married,1-3 Years,2,4,2,2,4,3,3,8120,false,false,0,2
714,27,25-34,Female,Sales,Sales Executive,Travel_Frequently,Divorced,5-10 Years,5,4,4,4,2,3,4,4647,true,false,0,6
715,37,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Single,1-3 Years,0,4,4,4,1,3,3,4680,false,false,0,1
716,50,45-54, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,10+ Years,8,4,3,4,3,3,3,3221,true,false,0,20
717,34,25-34,Female,Research & Development,Healthcare Representative,Travel_Rarely,Single,5-10 Years,7,2,2,4,2,4,3,8621,false,false,0,8
720,24,<25,Female,Sales,Sales Executive,Travel_Rarely,Single,1-3 Years,2,3,3,1,1,3,3,4577,false,true,1,2
721,39,35-44,Female,Research & Development,Healthcare Representative,Travel_Rarely,Single,10+ Years,7,2,3,4,1,3,3,4553,false,false,0,20
722,32,25-34, Male,Sales,Sales Executive,Travel_Rarely,Single,10+ Years,7,3,4,4,4,2,3,5396,false,false,0,10
723,50,45-54, Male,Sales,Sales Executive,Travel_Frequently,Married,3-5  Years,3,3,3,2,1,3,3,6796,true,true,1,4
724,38,35-44,Female,Research & Development,Healthcare Representative,Travel_Rarely,Single,5-10 Years,7,4,4,2,3,2,3,7625,false,false,0,9
725,27,25-34,Female,Research & Development,Manufacturing Director,Travel_Rarely,Married,5-10 Years,7,3,1,3,4,3,3,7412,false,false,0,9
727,32,25-34,Female,Research & Development,Research Director,Travel_Rarely,Single,5-10 Years,7,3,4,3,4,3,3,11159,false,false,0,7
728,47,45-54, Male,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,7,3,1,4,4,3,3,4960,false,false,0,7
729,40,35-44, Male,Sales,Sales Executive,Travel_Frequently,Married,10+ Years,13,2,1,4,3,3,4,10475,true,false,0,18
730,53,45-54, Male,Research & Development,Research Director,Travel_Rarely,Married,5-10 Years,1,4,3,3,3,3,3,14814,false,false,0,5
731,41,35-44, Male,Human Resources,Manager,Travel_Rarely,Divorced,10+ Years,6,2,4,2,2,2,3,19141,false,false,0,21
732,60,55+, Male,Sales,Sales Executive,Travel_Rarely,Single,1-3 Years,2,3,1,1,4,3,3,5405,false,false,0,2
733,27,25-34, Male,Research & Development,Manufacturing Director,Travel_Frequently,Divorced,5-10 Years,7,3,1,4,3,2,4,8793,false,false,0,9
734,41,35-44, Male,Human Resources,Manager,Travel_Rarely,Married,10+ Years,7,2,3,4,2,3,3,19189,false,false,0,22
738,50,45-54, Male,Sales,Sales Representative,Travel_Rarely,Married,1-3 Years,2,3,2,4,4,3,3,3875,false,false,0,2
741,28,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Single,5-10 Years,7,1,2,1,4,3,3,2216,true,true,1,7
742,36,35-44,Female,Research & Development,Research Director,Non-Travel,Married,5-10 Years,7,4,1,1,1,3,3,11713,false,false,0,8
743,38,35-44,Female,Research & Development,Manufacturing Director,Travel_Rarely,Single,1-3 Years,0,3,3,3,4,4,3,7861,true,false,0,1
744,44,35-44, Male,Research & Development,Laboratory Technician,Non-Travel,Single,5-10 Years,2,1,3,1,3,3,3,3708,false,false,0,5
746,47,45-54,Female,Sales,Sales Executive,Travel_Frequently,Divorced,10+ Years,2,3,3,4,4,2,3,13770,true,false,0,22
747,30,25-34, Male,Sales,Sales Executive,Travel_Rarely,Divorced,5-10 Years,7,3,4,3,4,2,4,5304,false,false,0,8
749,29,25-34, Male,Sales,Sales Representative,Travel_Rarely,Single,1-3 Years,0,3,3,3,3,3,3,2642,false,false,0,1
752,42,35-44, Male,Research & Development,Research Scientist,Travel_Frequently,Divorced,1-3 Years,2,4,3,3,4,3,3,2759,true,true,1,2
754,43,35-44, Male,Sales,Sales Executive,Travel_Frequently,Married,1-3 Years,2,2,4,4,3,3,3,6804,false,false,0,2
757,34,25-34,Female,Research & Development,Healthcare Representative,Travel_Rarely,Single,5-10 Years,1,3,3,2,4,3,3,6142,false,false,0,5
758,23,<25, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,3-5  Years,3,3,1,2,4,4,3,2500,false,false,0,4
760,39,35-44,Female,Human Resources,Human Resources,Travel_Rarely,Married,5-10 Years,3,4,2,3,3,1,3,6389,false,false,0,8
762,56,55+, Male,Research & Development,Healthcare Representative,Travel_Rarely,Married,10+ Years,7,3,4,3,3,2,3,11103,false,false,0,10
763,40,35-44,Female,Research & Development,Research Scientist,Travel_Rarely,Single,3-5  Years,2,2,4,4,4,2,4,2342,true,false,0,4
764,27,25-34,Female,Research & Development,Healthcare Representative,Travel_Rarely,Single,5-10 Years,6,2,1,4,1,1,3,6811,false,false,0,7
766,29,25-34, Male,Sales,Sales Representative,Travel_Rarely,Divorced,1-3 Years,2,3,2,4,4,3,3,2297,false,false,0,2
769,53,45-54, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,2,3,4,4,4,3,3,2450,false,false,0,2
771,35,35-44,Female,Research & Development,Healthcare Representative,Non-Travel,Divorced,1-3 Years,0,3,1,4,1,4,3,5093,false,false,0,1
772,32,25-34, Male,Research & Development,Laboratory Technician,Travel_Frequently,Married,10+ Years,8,3,4,1,4,3,3,5309,false,false,0,10
773,38,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,0,3,3,4,2,1,3,3057,true,false,0,1
775,34,25-34,Female,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,<1Year,0,3,1,2,3,3,3,5121,false,false,0,0
776,52,45-54, Male,Sales,Manager,Travel_Rarely,Married,10+ Years,6,2,1,3,1,4,3,16856,false,false,0,34
780,33,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,10+ Years,9,3,4,4,3,2,3,2686,true,true,1,10
781,25,25-34,Female,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,5,3,4,3,2,2,4,6180,false,false,0,6
783,45,45-54, Male,Sales,Sales Representative,Travel_Rarely,Single,5-10 Years,7,1,3,2,1,3,3,6632,false,false,0,8
784,23,<25, Male,Research & Development,Research Scientist,Travel_Rarely,Single,1-3 Years,2,4,3,1,4,3,3,3505,false,false,0,2
785,47,45-54,Female,Sales,Sales Executive,Travel_Frequently,Single,5-10 Years,4,4,3,2,4,3,3,6397,true,true,1,5
786,34,25-34, Male,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,5,3,4,4,3,3,4,6274,false,false,0,6
